사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2022-03,2호선,0222,강남,91,6,4992 ,10557 ,13834 ,45914 ,33415 ,126480 ,53892 ,280249 ,43864 ,277816 ,45044 ,129996 ,59544 ,88384 ,74087 ,89436 ,86853 ,109347 ,96497 ,95775 ,119346 ,89188 ,136106 ,94971 ,201018 ,118420 ,281548 ,154671 ,179839 ,88579 ,136077 ,41459 ,155659 ,31949 ,158942 ,28278 ,73416 ,20015 ,39,246,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0223,교대(법원.검찰청),37,0,2251 ,6540 ,10945 ,22225 ,23115 ,50641 ,30697 ,136776 ,24547 ,123816 ,23556 ,59089 ,28153 ,44182 ,30797 ,42245 ,37038 ,46696 ,43148 ,42872 ,47398 ,39492 ,52903 ,41185 ,84183 ,48147 ,125520 ,58506 ,57345 ,35264 ,43363 ,19221 ,46926 ,16955 ,41024 ,17073 ,14362 ,11119 ,9,190,1,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0224,서초,24,0,1285 ,4319 ,7144 ,17331 ,14228 ,42231 ,21457 ,100821 ,21696 ,77286 ,16318 ,31258 ,21278 ,22297 ,20566 ,18386 ,25566 ,21580 ,26779 ,20153 ,31961 ,17615 ,37770 ,17942 ,61901 ,18231 ,86275 ,19829 ,35529 ,13172 ,22459 ,8207 ,22960 ,8110 ,15363 ,8247 ,4694 ,4975 ,3,30,1,2,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0225,방배,2,1,2178 ,2453 ,7960 ,10045 ,19927 ,24833 ,27076 ,67613 ,21377 ,50614 ,16647 ,27691 ,17687 ,23555 ,21565 ,25347 ,23234 ,24111 ,24989 ,22264 ,28878 ,22417 ,35373 ,22089 ,43230 ,27640 ,63076 ,34316 ,28182 ,23566 ,19374 ,14212 ,18402 ,12959 ,15141 ,13947 ,5602 ,8627 ,5,67,1,1,1,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0226,사당,52,1,9838 ,3117 ,22193 ,24469 ,63492 ,38231 ,89598 ,56885 ,60944 ,43736 ,38195 ,36652 ,35291 ,37493 ,41762 ,40568 ,42126 ,41821 ,42874 ,41151 ,44606 ,50989 ,49788 ,63165 ,61337 ,90103 ,80033 ,132068 ,51322 ,90262 ,41909 ,52839 ,45944 ,48351 ,46580 ,48551 ,21698 ,35461 ,22,2506 ,0,1,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0227,낙성대(강감찬),30,0,9749 ,1733 ,23371 ,8130 ,69038 ,19046 ,109713 ,34580 ,67101 ,28351 ,35907 ,24895 ,31272 ,21543 ,34584 ,23762 ,34933 ,25871 ,31899 ,26779 ,32317 ,32200 ,36284 ,36980 ,41582 ,52187 ,44633 ,87534 ,25409 ,76014 ,18920 ,47264 ,17960 ,44722 ,15077 ,46789 ,5921 ,28752 ,10,2317 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0228,서울대입구(관악구청),4136 ,9,25272 ,2043 ,37667 ,12140 ,109621 ,27550 ,157170 ,65814 ,101493 ,58270 ,56360 ,52042 ,52132 ,43441 ,59316 ,47208 ,61785 ,52467 ,56410 ,53515 ,60529 ,58236 ,67951 ,67939 ,77529 ,96191 ,83971 ,158780 ,51027 ,127247 ,42529 ,72572 ,44525 ,66937 ,43043 ,68610 ,17678 ,44743 ,4,13635 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0229,봉천,42,0,13928 ,992,25181 ,6070 ,68792 ,11242 ,106542 ,24790 ,61298 ,17291 ,33213 ,16626 ,28427 ,16891 ,29889 ,19831 ,29914 ,22177 ,25385 ,23371 ,24859 ,32136 ,26717 ,35458 ,26680 ,46050 ,29948 ,77472 ,17289 ,64295 ,12605 ,38283 ,11649 ,35992 ,8808 ,33846 ,3079 ,22470 ,5,684,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0230,신림,282,22,35115 ,3094 ,69965 ,17503 ,181795 ,32883 ,280991 ,56905 ,165255 ,45553 ,86565 ,40727 ,72077 ,41762 ,77782 ,50836 ,73809 ,57037 ,66395 ,61310 ,66370 ,79688 ,72745 ,97250 ,78687 ,129158 ,82935 ,231985 ,51196 ,198811 ,40808 ,117028 ,38428 ,110531 ,37624 ,101329 ,18603 ,76059 ,21,962,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0231,신대방,78,0,23106 ,1499 ,32077 ,8094 ,79154 ,17987 ,118783 ,28054 ,69973 ,18581 ,37431 ,16044 ,30824 ,16714 ,31501 ,19767 ,30746 ,23030 ,26547 ,24823 ,25823 ,34261 ,28198 ,40346 ,31651 ,55992 ,35545 ,87576 ,20083 ,75235 ,14119 ,48223 ,10851 ,49235 ,8750 ,46567 ,3603 ,31255 ,2,127,1,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0232,구로디지털단지,172,6,34786 ,4586 ,46252 ,19259 ,116819 ,74931 ,158056 ,220845 ,95606 ,120497 ,54836 ,45697 ,48929 ,37543 ,54480 ,39429 ,55257 ,50143 ,50034 ,48203 ,53269 ,55268 ,64471 ,68146 ,110332 ,89858 ,195834 ,143539 ,91038 ,113101 ,51694 ,68487 ,43017 ,66349 ,36380 ,62726 ,14703 ,43310 ,11,305,0,1,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0233,대림(구로구청),515,17,30699 ,3071 ,29158 ,9796 ,58251 ,20913 ,82037 ,50067 ,53312 ,29075 ,30242 ,24005 ,25366 ,24188 ,28509 ,24987 ,27626 ,26846 ,25504 ,26745 ,26348 ,33910 ,29770 ,40248 ,36413 ,53495 ,45989 ,62841 ,22820 ,47625 ,15017 ,32473 ,11531 ,39193 ,8639 ,38380 ,3538 ,20310 ,10,907,1,0,0,1,0,0,2022-04-03 09:20:04
2022-03,2호선,0234,신도림,3403 ,64,29414 ,4211 ,43880 ,17218 ,114156 ,34732 ,118110 ,94570 ,72235 ,52047 ,47462 ,50718 ,47097 ,46978 ,54499 ,51646 ,55798 ,56317 ,54826 ,53937 ,58930 ,60464 ,65407 ,69369 ,79505 ,91028 ,105910 ,146559 ,60070 ,104654 ,47794 ,59148 ,47438 ,54015 ,34120 ,55247 ,14499 ,49700 ,42,11515 ,1,2,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0235,문래,0,0,3123 ,2388 ,10762 ,12657 ,36087 ,30748 ,40618 ,107118 ,21805 ,49224 ,16396 ,21139 ,16399 ,18591 ,18686 ,20358 ,20936 ,21982 ,20864 ,20471 ,22699 ,21155 ,30185 ,23870 ,51235 ,30008 ,92389 ,46752 ,32180 ,33078 ,21494 ,16788 ,21564 ,14667 ,17104 ,13782 ,7628 ,9514 ,4,351,0,0,0,0,0,0,2022-04-03 09:20:04
